system   D            wsystem.c:583  maybe_parent_dir                 [   0.00095] Also searching C:\Users\Drutol\Desktop\Shooter\
dtor     D               dtor.c:114  _al_run_destructors              [   1.76252] calling dtor for object 002567E8, func 55881B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   1.76260] removed dtor for object 002567E8
dtor     D               dtor.c:114  _al_run_destructors              [   1.76280] calling dtor for object 00253B98, func 55881B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   1.76285] removed dtor for object 00253B98
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [   1.76317] d3d_destroy_bitmap: Release video texture failed.
dtor     D               dtor.c:114  _al_run_destructors              [   1.76382] calling dtor for object 00250DE8, func 55881B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   1.76388] removed dtor for object 00250DE8
dtor     D               dtor.c:114  _al_run_destructors              [   1.76403] calling dtor for object 0024E188, func 55881B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   1.76407] removed dtor for object 0024E188
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [   1.76431] d3d_destroy_bitmap: Release video texture failed.
dtor     D               dtor.c:114  _al_run_destructors              [   1.76531] calling dtor for object 0024B488, func 55881B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   1.76546] removed dtor for object 0024B488
dtor     D               dtor.c:114  _al_run_destructors              [   1.76567] calling dtor for object 00248818, func 55881B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   1.76571] removed dtor for object 00248818
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [   1.76600] d3d_destroy_bitmap: Release video texture failed.
dtor     D               dtor.c:114  _al_run_destructors              [   1.76691] calling dtor for object 00245B28, func 55881B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   1.76701] removed dtor for object 00245B28
dtor     D               dtor.c:114  _al_run_destructors              [   1.76719] calling dtor for object 00242AF8, func 55881B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   1.76723] removed dtor for object 00242AF8
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [   1.76757] d3d_destroy_bitmap: Release video texture failed.
dtor     D               dtor.c:114  _al_run_destructors              [   1.76834] calling dtor for object 0023FED0, func 55881B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   1.76842] removed dtor for object 0023FED0
dtor     D               dtor.c:114  _al_run_destructors              [   1.76858] calling dtor for object 0023D2B0, func 55881B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   1.76862] removed dtor for object 0023D2B0
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [   1.76898] d3d_destroy_bitmap: Release video texture failed.
dtor     D               dtor.c:114  _al_run_destructors              [   1.76962] calling dtor for object 0023A690, func 55881B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   1.76970] removed dtor for object 0023A690
dtor     D               dtor.c:114  _al_run_destructors              [   1.76991] calling dtor for object 00237A78, func 55881B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   1.76995] removed dtor for object 00237A78
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [   1.77020] d3d_destroy_bitmap: Release video texture failed.
dtor     D               dtor.c:114  _al_run_destructors              [   1.77120] calling dtor for object 002305A0, func 55881B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   1.77130] removed dtor for object 002305A0
dtor     D               dtor.c:114  _al_run_destructors              [   1.77154] calling dtor for object 002323D8, func 55881B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   1.77158] removed dtor for object 002323D8
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [   1.77185] d3d_destroy_bitmap: Release video texture failed.
dtor     D               dtor.c:114  _al_run_destructors              [   1.77269] calling dtor for object 0022EEE8, func 55881B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   1.77280] removed dtor for object 0022EEE8
dtor     D               dtor.c:114  _al_run_destructors              [   1.77299] calling dtor for object 0022C278, func 55881B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   1.77303] removed dtor for object 0022C278
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [   1.77338] d3d_destroy_bitmap: Release video texture failed.
dtor     D               dtor.c:114  _al_run_destructors              [   1.77455] calling dtor for object 002257F0, func 55881B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   1.77462] removed dtor for object 002257F0
dtor     D               dtor.c:114  _al_run_destructors              [   1.77479] calling dtor for object 00226958, func 55881B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   1.77483] removed dtor for object 00226958
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [   1.77501] d3d_destroy_bitmap: Release video texture failed.
dtor     D               dtor.c:114  _al_run_destructors              [   1.77632] calling dtor for object 0021DF10, func 558827A7
dtor     D               dtor.c:214  _al_unregister_destructor        [   1.77643] removed dtor for object 0021DF10
dtor     D               dtor.c:114  _al_run_destructors              [   1.77649] calling dtor for object 0021DD50, func 558824D2
dtor     D               dtor.c:214  _al_unregister_destructor        [   1.77654] removed dtor for object 0021DD50
dtor     D               dtor.c:114  _al_run_destructors              [   1.77658] calling dtor for object 0021DA60, func 558827A7
dtor     D               dtor.c:214  _al_unregister_destructor        [   1.77662] removed dtor for object 0021DA60
d3d      I         d3d_disp.cpp:921  d3d_destroy_display              [   1.77688] destroying display 001FBDD0 (current 00000000)
d3d      D         d3d_disp.cpp:905  d3d_destroy_display_internals    [   1.77694] waiting for display 001FBDD0's thread to end
d3d      W         d3d_disp.cpp:617  d3d_destroy_device               [   1.78627] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1527 d3d_display_thread_proc          [   1.86738] d3d display thread exits
